feature,road_class,positive_n_links,zero_n_links,positive_non_null_share,zero_non_null_share,gap,positive_link_year_non_null_share,zero_link_year_non_null_share,link_year_gap,link_vs_link_year_gap_abs_diff,status,untestable_reason,flag_reason
speed_limit_mph,B Road,27796,61490,0.610051806015254,0.48581883233046025,0.12423297368479375,0.610051806015254,0.48581883233046025,0.12423297368479375,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
is_unpaved,Unknown,8307,434529,0.19561815336463223,0.09026785323879419,0.10535030012583804,0.19561815336463223,0.09026785323879419,0.10535030012583804,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
is_unpaved,Classified Unnumbered,36775,154146,0.2830727396329028,0.18319645011871863,0.09987628951418417,0.2830727396329028,0.18319645011871863,0.09987628951418417,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
lanes,A Road,67763,87775,0.40212210203208243,0.3043349473084591,0.09778715472362332,0.40212210203208243,0.3043349473084591,0.09778715472362332,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
is_unpaved,Unclassified,86433,973581,0.255712517209862,0.15873563678831037,0.09697688042155161,0.255712517209862,0.15873563678831037,0.09697688042155161,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
lanes,Classified Unnumbered,36775,154146,0.19665533650577838,0.11602636461536465,0.08062897189041372,0.19665533650577838,0.11602636461536465,0.08062897189041372,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
lanes,B Road,27796,61490,0.2726651316736221,0.19463327370304115,0.07803185797058096,0.2726651316736221,0.19463327370304115,0.07803185797058096,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
is_unpaved,B Road,27796,61490,0.30212980284933083,0.22509351114002277,0.07703629170930806,0.30212980284933083,0.22509351114002277,0.07703629170930806,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
lit,Classified Unnumbered,36775,154146,0.1673691366417403,0.09383311925058062,0.07353601739115968,0.1673691366417403,0.09383311925058062,0.07353601739115968,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
lit,Unknown,8307,434529,0.09449861562537619,0.021812123011352522,0.07268649261402367,0.09449861562537619,0.021812123011352522,0.07268649261402367,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
lit,Unclassified,86433,973581,0.16493700322793378,0.09559964707610358,0.0693373561518302,0.16493700322793378,0.09559964707610358,0.0693373561518302,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
lanes,Unknown,8307,434529,0.07439508847959553,0.013414524692252992,0.06098056378734254,0.07439508847959553,0.013414524692252992,0.06098056378734254,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
lit,A Road,67763,87775,0.28449153667930877,0.22353745371688977,0.060954082962419,0.28449153667930877,0.22353745371688977,0.060954082962419,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
lit,B Road,27796,61490,0.2044179018563822,0.1453244429988616,0.0590934588575206,0.2044179018563822,0.1453244429988616,0.0590934588575206,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
lanes,Unclassified,86433,973581,0.09852718290467762,0.03968134135731901,0.058845841547358606,0.09852718290467762,0.03968134135731901,0.058845841547358606,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
is_unpaved,A Road,67763,87775,0.3064356654811623,0.24851039589860438,0.05792526958255792,0.3064356654811623,0.24851039589860438,0.05792526958255792,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
is_unpaved,Not Classified,4251,220627,0.17666431427899318,0.12422776904005403,0.05243654523893915,0.17666431427899318,0.12422776904005403,0.05243654523893915,0.0,auditable,,coverage_gap_and_low_zero_collision_coverage
