dimension,category,collision_history,n_links,n_hgv_non_null,hgv_non_null_share,median_estimated_aadt
estimated_aadt_decile,D1,one_or_more_collisions_2015_2024,1318,723,0.5485584218512898,271.0
estimated_aadt_decile,D1,zero_collisions_2015_2024,215575,0,0.0,239.8
estimated_aadt_decile,D10,one_or_more_collisions_2015_2024,94985,88027,0.926746328367637,11873.7
estimated_aadt_decile,D10,zero_collisions_2015_2024,121771,0,0.0,10075.1
estimated_aadt_decile,D2,one_or_more_collisions_2015_2024,3975,3019,0.7594968553459119,360.6
estimated_aadt_decile,D2,zero_collisions_2015_2024,212683,0,0.0,355.6
estimated_aadt_decile,D3,one_or_more_collisions_2015_2024,5411,4464,0.8249861393457771,432.6
estimated_aadt_decile,D3,zero_collisions_2015_2024,211306,0,0.0,429.7
estimated_aadt_decile,D4,one_or_more_collisions_2015_2024,6938,5862,0.8449120784087634,499.05
estimated_aadt_decile,D4,zero_collisions_2015_2024,209845,0,0.0,498.1
estimated_aadt_decile,D5,one_or_more_collisions_2015_2024,8711,6989,0.8023189071289175,590.8
estimated_aadt_decile,D5,zero_collisions_2015_2024,208046,0,0.0,585.8
estimated_aadt_decile,D6,one_or_more_collisions_2015_2024,12870,10003,0.7772338772338773,750.4
estimated_aadt_decile,D6,zero_collisions_2015_2024,203877,0,0.0,742.6
estimated_aadt_decile,D7,one_or_more_collisions_2015_2024,19451,17115,0.8799033468716262,1069.4
estimated_aadt_decile,D7,zero_collisions_2015_2024,197300,0,0.0,1042.4
estimated_aadt_decile,D8,one_or_more_collisions_2015_2024,30733,28626,0.9314417726873393,1586.1
estimated_aadt_decile,D8,zero_collisions_2015_2024,186010,0,0.0,1546.7
estimated_aadt_decile,D9,one_or_more_collisions_2015_2024,49212,44766,0.909656181419166,2691.6499999999996
estimated_aadt_decile,D9,zero_collisions_2015_2024,167540,0,0.0,2520.3
is_trunk,False,one_or_more_collisions_2015_2024,225957,202737,0.8972370849320889,2655.8
is_trunk,False,zero_collisions_2015_2024,1921742,0,0.0,589.8
is_trunk,True,one_or_more_collisions_2015_2024,7647,6857,0.8966915130116385,16387.2
is_trunk,True,zero_collisions_2015_2024,12211,0,0.0,9092.3
overall,all_links,one_or_more_collisions_2015_2024,233604,209594,0.8972192256981901,2790.25
overall,all_links,zero_collisions_2015_2024,1933953,0,0.0,593.1
road_class_group,a_road,one_or_more_collisions_2015_2024,67763,62697,0.9252394374511164,13019.2
road_class_group,a_road,zero_collisions_2015_2024,87775,0,0.0,10977.5
road_class_group,b_road,one_or_more_collisions_2015_2024,27796,22638,0.8144337314721543,8427.95
road_class_group,b_road,zero_collisions_2015_2024,61490,0,0.0,5372.75
road_class_group,minor,one_or_more_collisions_2015_2024,127459,114374,0.8973395366353102,1488.7
road_class_group,minor,zero_collisions_2015_2024,1348354,0,0.0,591.0
road_class_group,motorway,one_or_more_collisions_2015_2024,2279,2230,0.9784993418165863,41473.8
road_class_group,motorway,zero_collisions_2015_2024,1805,0,0.0,16910.0
road_class_group,unknown,one_or_more_collisions_2015_2024,8307,7655,0.921511977850006,1128.1
road_class_group,unknown,zero_collisions_2015_2024,434529,0,0.0,467.6
road_classification,A Road,one_or_more_collisions_2015_2024,67763,62697,0.9252394374511164,13019.2
road_classification,A Road,zero_collisions_2015_2024,87775,0,0.0,10977.5
road_classification,B Road,one_or_more_collisions_2015_2024,27796,22638,0.8144337314721543,8427.95
road_classification,B Road,zero_collisions_2015_2024,61490,0,0.0,5372.75
road_classification,Classified Unnumbered,one_or_more_collisions_2015_2024,36775,28653,0.7791434398368456,1962.2
road_classification,Classified Unnumbered,zero_collisions_2015_2024,154146,0,0.0,824.6
road_classification,Motorway,one_or_more_collisions_2015_2024,2279,2230,0.9784993418165863,41473.8
road_classification,Motorway,zero_collisions_2015_2024,1805,0,0.0,16910.0
road_classification,Not Classified,one_or_more_collisions_2015_2024,4251,3855,0.9068454481298518,971.1
road_classification,Not Classified,zero_collisions_2015_2024,220627,0,0.0,518.9
road_classification,Unclassified,one_or_more_collisions_2015_2024,86433,81866,0.9471613851191096,1390.4
road_classification,Unclassified,zero_collisions_2015_2024,973581,0,0.0,586.4
road_classification,Unknown,one_or_more_collisions_2015_2024,8307,7655,0.921511977850006,1128.1
road_classification,Unknown,zero_collisions_2015_2024,434529,0,0.0,467.6
