dimension,category,n_links,n_hgv_non_null,hgv_non_null_share,n_collision_history,collision_history_share,hgv_non_null_among_collision_links,collision_history_among_hgv_non_null,median_estimated_aadt
overall,all_links,2167557,209594,0.09669595770722524,233604,0.10777294437931736,0.8972192256981901,1.0,651.5
road_class_group,a_road,155538,62697,0.4030976353045558,67763,0.43566845401123844,0.9252394374511164,1.0,11970.150000000001
road_class_group,b_road,89286,22638,0.2535447886566763,27796,0.3113142037945479,0.8144337314721543,1.0,6449.05
road_class_group,minor,1475813,114374,0.07749897852912259,127459,0.08636527798576107,0.8973395366353102,1.0,623.1
road_class_group,motorway,4084,2230,0.5460333006856023,2279,0.5580313418217434,0.9784993418165863,1.0,29505.1
road_class_group,unknown,442836,7655,0.01728630915282407,8307,0.0187586375091456,0.921511977850006,1.0,471.7
road_classification_raw,A Road,155538,62697,0.4030976353045558,67763,0.43566845401123844,0.9252394374511164,1.0,11970.150000000001
road_classification_raw,B Road,89286,22638,0.2535447886566763,27796,0.3113142037945479,0.8144337314721543,1.0,6449.05
road_classification_raw,Classified Unnumbered,190921,28653,0.15007778086224144,36775,0.1926189366282389,0.7791434398368456,1.0,974.5
road_classification_raw,Motorway,4084,2230,0.5460333006856023,2279,0.5580313418217434,0.9784993418165863,1.0,29505.1
road_classification_raw,Not Classified,224878,3855,0.017142628447424826,4251,0.018903583276265352,0.9068454481298518,1.0,521.7
road_classification_raw,Unclassified,1060014,81866,0.07723105543889043,86433,0.08153948910108734,0.9471613851191096,1.0,614.2
road_classification_raw,Unknown,442836,7655,0.01728630915282407,8307,0.0187586375091456,0.921511977850006,1.0,471.7
is_trunk,False,2147699,202737,0.09439730614019935,225957,0.105208877035376,0.8972370849320889,1.0,644.5
is_trunk,True,19858,6857,0.3453016416557559,7647,0.3850840970893343,0.8966915130116385,1.0,11702.0
estimated_aadt_decile,D1,216893,723,0.0033334409132613776,1318,0.006076729078393493,0.5485584218512898,1.0,240.0
estimated_aadt_decile,D2,216658,3019,0.013934403529987354,3975,0.01834688772166271,0.7594968553459119,1.0,355.7
estimated_aadt_decile,D3,216717,4464,0.020598291781447696,5411,0.024968045884725242,0.8249861393457771,1.0,429.7
estimated_aadt_decile,D4,216783,5862,0.02704086575054317,6938,0.03200435458499975,0.8449120784087634,1.0,498.2
estimated_aadt_decile,D5,216757,6989,0.03224348002601992,8711,0.04018786013831156,0.8023189071289175,1.0,586.0
estimated_aadt_decile,D6,216747,10003,0.04615058109224118,12870,0.05937798447037329,0.7772338772338773,1.0,743.0
estimated_aadt_decile,D7,216751,17115,0.07896157341834639,19451,0.08973891700614992,0.8799033468716262,1.0,1044.7
estimated_aadt_decile,D8,216743,28626,0.1320734695007451,30733,0.14179466003515684,0.9314417726873393,1.0,1551.9
estimated_aadt_decile,D9,216752,44766,0.20653096626559386,49212,0.22704288772421938,0.909656181419166,1.0,2555.05
estimated_aadt_decile,D10,216756,88027,0.4061110188414623,94985,0.4382116296665375,0.926746328367637,1.0,10896.2
