dimension,category,collision_stratum,n_link_years,n_hgv_non_null,hgv_non_null_share,n_collision_count,median_estimated_aadt
overall,all_link_years,collision_positive_link_year,391255,351969,0.8995897816002352,450992,4533.0
overall,all_link_years,zero_collision_link_year,21284315,15334657,0.7204674897923659,0,643.0
road_classification,A Road,collision_positive_link_year,144593,133180,0.9210681014986895,174615,13377.0
road_classification,A Road,zero_collision_link_year,1410787,1116070,0.791097451280739,0,11567.0
road_classification,B Road,collision_positive_link_year,49671,40435,0.8140564917154879,56216,8637.0
road_classification,B Road,zero_collision_link_year,843189,533153,0.6323054499050628,0,6152.0
road_classification,Classified Unnumbered,collision_positive_link_year,59027,47300,0.801328205736358,65399,2064.0
road_classification,Classified Unnumbered,zero_collision_link_year,1850183,983291,0.5314560775880007,0,947.0
road_classification,Motorway,collision_positive_link_year,7956,7695,0.9671945701357466,16981,50794.5
road_classification,Motorway,zero_collision_link_year,32884,28806,0.8759883225884929,0,24483.5
road_classification,Not Classified,collision_positive_link_year,4956,4529,0.9138418079096046,5133,1005.5
road_classification,Not Classified,zero_collision_link_year,2243824,1543885,0.6880597586976519,0,524.0
road_classification,Unclassified,collision_positive_link_year,114278,108769,0.9517929960272319,121071,1483.0
road_classification,Unclassified,zero_collision_link_year,10485862,8438996,0.8047975454950675,0,615.0
road_classification,Unknown,collision_positive_link_year,10774,10061,0.9338221644700204,11577,1223.0
road_classification,Unknown,zero_collision_link_year,4417586,2690456,0.6090330782468072,0,469.0
