grid10km,no_lsoa_count,pct_no_lsoa
"27,65",7325,2.182059745242663
"26,65",6879,2.0491998617780585
"29,57",2950,0.878781740404895
"28,65",2363,0.7039190686700905
"28,64",1721,0.5126723305887539
"35,63",1642,0.48913885347282626
"27,64",1553,0.4626264552029836
"45,52",1248,0.3717693600085793
"35,61",1186,0.35330004885430694
"37,63",973,0.2898490282759196
"28,63",879,0.26184716942911956
"33,56",875,0.2606556009675536
"51,45",873,0.2600598167367706
"34,63",825,0.2457609951979791
"26,55",821,0.24456942673641313
"27,56",791,0.23563266327466847
"33,48",790,0.23533477115927695
"29,64",769,0.22907903673605565
"31,56",765,0.22788746827448972
"33,49",752,0.22401487077440035
