grid100km,full_no_ruc_count,fallback_count,full_no_ruc_pct,fallback_pct,fallback_vs_full_no_ruc_pct_point_delta
"2,6",26412,26412,7.867926551720029,27.177033492822964,19.309106941102936
"3,6",20483,19680,6.101724199563886,20.250038586201573,14.148314386637686
"3,5",28469,14127,8.480690633080323,14.536193857076709,6.055503223996386
"2,5",11456,11396,3.412652073924907,11.726089417091115,8.313437343166209
"2,2",11489,5207,3.4224825137328265,5.357822709265833,1.9353401955330067
"3,2",33043,3257,9.843249168880998,3.3513402274013475,-6.49190894147965
"2,3",8954,2732,2.6673260012154,2.8111334053609096,0.14380740414550974
"4,4",24799,2731,7.387426569593555,2.8101044399855946,-4.5773221296079605
"3,4",15280,2571,4.551791523181965,2.6454699799351755,-1.9063215432467895
"5,3",20242,1986,6.029932199754537,2.0435252353758293,-3.9864069643787077
"3,3",26961,1945,8.031469323069956,2.0013376549879096,-6.0301316680820465
"4,5",11622,1429,3.4621021650798944,1.4703915213253074,-1.991710643754587
"4,6",3525,1329,1.0500697067550016,1.3674949837937953,0.31742527703879375
"4,3",23910,817,7.122600479010521,0.8406647116324537,-6.281935767378068
"5,2",20880,711,6.219987369374307,0.7315943818490508,-5.488392987525256
"4,2",23896,353,7.1184299893950405,0.3632247774862376,-6.755205211908803
"5,4",6206,265,1.8487184681195856,0.27267582445850697,-1.5760426436610786
"6,2",12101,164,3.604792488352418,0.1687503215516798,-3.436042166800738
"6,3",5964,73,1.7766285761948453,0.07511447239800381,-1.7015141037968415
