config,seed,leakage_handling,pseudo_r2,test_deviance,n_eval_links,hgv_proportion_importance,core_overnight_ratio_importance,webtris_hgv_pct_importance
A,42,full,0.32144432245390075,497680.69212407124,433512,0.038738127797842026,,
A,42,primary,0.3154443940646243,493381.5669812533,432775,0.038738127797842026,,
A,43,full,0.3213724666479957,497342.07749063626,433512,0.035769615322351456,,
A,43,primary,0.319666179092711,496539.12525711197,433365,0.035769615322351456,,
A,44,full,0.3263197293095126,496321.7527637847,433512,0.03802850842475891,,
A,44,primary,0.32487850083758685,495494.896419541,433376,0.03802850842475891,,
A,45,full,0.32652910656768175,496638.76440464676,433512,0.03914099186658859,,
A,45,primary,0.32538180198025857,495735.33785586036,433362,0.03914099186658859,,
A,46,full,0.321825364429727,498461.6474605603,433512,0.03474287688732147,,
A,46,primary,0.3214964269260965,497785.78265659633,433376,0.03474287688732147,,
B,42,full,0.32564972432251027,494596.27712042956,433512,0.03859291970729828,0.014364436268806458,
B,42,primary,0.3196909966339586,490320.9019135238,432775,0.03859291970729828,0.014364436268806458,
B,43,full,0.3255319957052557,494293.70600399433,433512,0.03491054102778435,0.014190806075930595,
B,43,primary,0.32384416881299294,493489.83489804174,433365,0.03491054102778435,0.014190806075930595,
B,44,full,0.3298858631409475,493694.4681737315,433512,0.038188766688108444,0.015516277402639389,
B,44,primary,0.3284656134253804,492862.1910734083,433376,0.038188766688108444,0.015516277402639389,
B,45,full,0.33068187236429925,493576.3833957468,433512,0.03728267922997475,0.014176673255860806,
B,45,primary,0.3295347592494434,492683.58550025604,433362,0.03728267922997475,0.014176673255860806,
B,46,full,0.3263025181432324,495170.91775921796,433512,0.03731421381235123,0.014348641969263554,
B,46,primary,0.3259726371292635,494501.800246269,433376,0.03731421381235123,0.014348641969263554,
C,42,full,0.32740151013582175,493311.4452269365,433512,0.03863178938627243,0.013884739950299263,0.013365344144403934
C,42,primary,0.3214237514987679,489072.04893068125,432775,0.03863178938627243,0.013884739950299263,0.013365344144403934
C,43,full,0.32715732375147843,493102.5606593316,433512,0.03955569490790367,0.014197793789207935,0.013596306554973125
C,43,primary,0.3254609012658636,492309.8686913748,433365,0.03955569490790367,0.014197793789207935,0.013596306554973125
C,44,full,0.3318554553644213,492243.4067324005,433512,0.036168403923511505,0.01441247295588255,0.01318604126572609
C,44,primary,0.3304409972712844,491412.3889039775,433376,0.036168403923511505,0.01441247295588255,0.01318604126572609
C,45,full,0.3321815385800886,492470.482036546,433512,0.038565441966056824,0.013596085831522942,0.013528871349990368
C,45,primary,0.3310361318220092,491580.3193243758,433362,0.038565441966056824,0.013596085831522942,0.013528871349990368
C,46,full,0.3280914091658732,493856.0741783708,433512,0.03464672714471817,0.014101507142186165,0.012085214257240295
C,46,primary,0.32776085061142,493189.8731126511,433376,0.03464672714471817,0.014101507142186165,0.012085214257240295
